Name,Season,Date,Competition,Round,Venue,Result,Squad,Opponent
Alisson,2018-2019,2019-06-18,Copa América,Group stage,Neutral,D 0–0,Brazil,Venezuela
Alisson,2018-2019,2019-06-22,Copa América,Group stage,Neutral,W 5–0,Brazil,Peru
Alisson,2018-2019,2019-06-27,Copa América,Quarter-finals,Neutral,W 0 ,Brazil,Paraguay
Trent Alexander-Arnold,2019-2020,2020-01-19,Premier League,Matchweek 23,Home,W 2–0,Liverpool,Manchester Utd
Trent Alexander-Arnold,2019-2020,2020-01-23,Premier League,Matchweek 24,Away,W 2–1,Liverpool,Wolves
Trent Alexander-Arnold,2019-2020,2020-01-29,Premier League,Matchweek 18,Away,W 2–0,Liverpool,West Ham
Trent Alexander-Arnold,2019-2020,2020-02-01,Premier League,Matchweek 25,Home,W 4–0,Liverpool,Southampton
Trent Alexander-Arnold,2019-2020,2020-02-15,Premier League,Matchweek 26,Away,W 1–0,Liverpool,Norwich City
Trent Alexander-Arnold,2019-2020,2020-02-18,Champions Lg,Round of 16,Away,L 0–1,Liverpool,Atlético Madrid
Trent Alexander-Arnold,2019-2020,2020-02-24,Premier League,Matchweek 27,Home,W 3–2,Liverpool,West Ham
Trent Alexander-Arnold,2019-2020,2020-02-29,Premier League,Matchweek 28,Away,L 0–3,Liverpool,Watford
Trent Alexander-Arnold,2019-2020,2020-03-07,Premier League,Matchweek 29,Home,W 2–1,Liverpool,Bournemouth
Trent Alexander-Arnold,2019-2020,2020-03-11,Champions Lg,Round of 16,Home,L 2–3,Liverpool,Atlético Madrid
Miguel Almirón,2019-2020,2019-08-11,Premier League,Matchweek 1,Home,L 0–1,Newcastle Utd,Arsenal
Dele Alli,2018-2019,2018-12-29,Premier League,Matchweek 20,Home,L 1–3,Tottenham,Wolves
Dele Alli,2018-2019,2019-01-01,Premier League,Matchweek 21,Away,W 3–0,Tottenham,Cardiff City
Dele Alli,2018-2019,2019-01-04,FA Cup,Third round,Away,W 7–0,Tottenham,Tranmere Rovers
Dele Alli,2018-2019,2019-01-08,EFL Cup,Semi-finals,Home,W 1–0,Tottenham,Chelsea
Dele Alli,2018-2019,2019-01-13,Premier League,Matchweek 22,Home,L 0–1,Tottenham,Manchester Utd
Dele Alli,2018-2019,2019-01-20,Premier League,Matchweek 23,Away,W 2–1,Tottenham,Fulham
Dele Alli,2018-2019,2019-03-09,Premier League,Matchweek 30,Away,L 1–2,Tottenham,Southampton
Dele Alli,2018-2019,2019-03-31,Premier League,Matchweek 32,Away,L 1–2,Tottenham,Liverpool
Dele Alli,2018-2019,2019-04-03,Premier League,Matchweek 31,Home,W 2–0,Tottenham,Crystal Palace
Dele Alli,2018-2019,2019-04-09,Champions Lg,Quarter-finals,Home,W 1–0,Tottenham,Manchester City
Dele Alli,2018-2019,2019-04-17,Champions Lg,Quarter-finals,Away,L 3–4,Tottenham,Manchester City
Dele Alli,2018-2019,2019-04-20,Premier League,Matchweek 35,Away,L 0–1,Tottenham,Manchester City
Steven Alzate,2019-2020,2019-08-12,PL2 — Div. 1,Matchweek 1,Home,W 2–0,Brighton,Wolves
Steven Alzate,2018-2019,2018-08-04,League Two,Matchweek 1,Home,W 3–2,Swindon Town,Macclesfield
Miguel Almirón,2018-2019,2018-07-04,MLS,Regular Season,Away,L 2–3,Atlanta,FC Dallas
Marcos Alonso,2019-2020,2019-12-22,Premier League,Matchweek 18,Away,W 2–0,Chelsea,Tottenham
Marcos Alonso,2019-2020,2020-01-25,FA Cup,Fourth round,Away,W 2–1,Chelsea,Hull City
Marcos Alonso,2019-2020,2020-02-22,Premier League,Matchweek 27,Home,W 2–1,Chelsea,Tottenham
Marcos Alonso,2019-2020,2020-02-25,Champions Lg,Round of 16,Home,L 0–3,Chelsea,Bayern Munich
Marcos Alonso,2019-2020,2020-02-29,Premier League,Matchweek 28,Away,D 2–2,Chelsea,Bournemouth
Marcos Alonso,2019-2020,2020-03-03,FA Cup,Fifth round,Home,W 2–0,Chelsea,Liverpool
Marcos Alonso,2019-2020,2020-03-08,Premier League,Matchweek 29,Home,W 4–0,Chelsea,Everton
Marcos Alonso,2017-2018,2017-11-05,Premier League,Matchweek 11,Home,W 1–0,Chelsea,Manchester Utd
Marcos Alonso,2017-2018,2017-11-18,Premier League,Matchweek 12,Away,W 4–0,Chelsea,West Brom
Marcos Alonso,2017-2018,2017-11-22,Champions Lg,Group stage,Away,W 4–0,Chelsea,Qarabağ FK
Marcos Alonso,2017-2018,2017-11-25,Premier League,Matchweek 13,Away,D 1–1,Chelsea,Liverpool
Marcos Alonso,2017-2018,2017-11-29,Premier League,Matchweek 14,Home,W 1–0,Chelsea,Swansea City
Marcos Alonso,2017-2018,2017-12-02,Premier League,Matchweek 15,Home,W 3–1,Chelsea,Newcastle Utd
Marcos Alonso,2017-2018,2017-12-09,Premier League,Matchweek 16,Away,L 0–1,Chelsea,West Ham
Marcos Alonso,2017-2018,2017-12-12,Premier League,Matchweek 17,Away,W 3–1,Chelsea,Huddersfield
Marcos Alonso,2017-2018,2017-12-16,Premier League,Matchweek 18,Home,W 1–0,Chelsea,Southampton
Marcos Alonso,2017-2018,2017-12-23,Premier League,Matchweek 19,Away,D 0–0,Chelsea,Everton
Marcos Alonso,2017-2018,2017-12-26,Premier League,Matchweek 20,Home,W 2–0,Chelsea,Brighton
Marcos Alonso,2017-2018,2017-12-30,Premier League,Matchweek 21,Home,W 5–0,Chelsea,Stoke City
Marcos Alonso,2018-2019,2018-11-11,Premier League,Matchweek 12,Home,D 0–0,Chelsea,Everton
Marcos Alonso,2018-2019,2018-11-24,Premier League,Matchweek 13,Away,L 1–3,Chelsea,Tottenham
Marcos Alonso,2018-2019,2018-12-02,Premier League,Matchweek 14,Home,W 2–0,Chelsea,Fulham
Marcos Alonso,2018-2019,2018-12-05,Premier League,Matchweek 15,Away,L 1–2,Chelsea,Wolves
Marcos Alonso,2018-2019,2018-12-08,Premier League,Matchweek 16,Home,W 2–0,Chelsea,Manchester City
Marcos Alonso,2018-2019,2018-12-16,Premier League,Matchweek 17,Away,W 2–1,Chelsea,Brighton
Marcos Alonso,2018-2019,2018-12-22,Premier League,Matchweek 18,Home,L 0–1,Chelsea,Leicester City
Marcos Alonso,2018-2019,2018-12-26,Premier League,Matchweek 19,Away,W 2–1,Chelsea,Watford
Marcos Alonso,2018-2019,2018-12-30,Premier League,Matchweek 20,Away,W 1–0,Chelsea,Crystal Palace
Marcos Alonso,2018-2019,2019-01-02,Premier League,Matchweek 21,Home,D 0–0,Chelsea,Southampton
Marcos Alonso,2018-2019,2019-01-08,EFL Cup,Semi-finals,Away,L 0–1,Chelsea,Tottenham
Marcos Alonso,2018-2019,2019-01-12,Premier League,Matchweek 22,Home,W 2–1,Chelsea,Newcastle Utd
Alisson,2017-2018,2018-03-27,Friendlies (M),Friendlies (M),Away,W 1–0,Brazil,Germany
Alisson,2017-2018,2018-03-31,Serie A,Matchweek 30,Away,D 1–1,Roma,Bologna
Alisson,2017-2018,2018-04-04,Champions Lg,Quarter-finals,Away,L 1–4,Roma,Barcelona
Alisson,2017-2018,2018-04-07,Serie A,Matchweek 31,Home,L 0–2,Roma,Fiorentina
Alisson,2017-2018,2018-04-10,Champions Lg,Quarter-finals,Home,W 3–0,Roma,Barcelona
Alisson,2017-2018,2018-04-15,Serie A,Matchweek 32,Away,D 0–0,Roma,Lazio
Alisson,2017-2018,2018-04-18,Serie A,Matchweek 33,Home,W 2–1,Roma,Genoa
Alisson,2017-2018,2018-04-21,Serie A,Matchweek 34,Away,W 3–0,Roma,SPAL
Alisson,2017-2018,2018-04-24,Champions Lg,Semi-finals,Away,L 2–5,Roma,Liverpool
Alisson,2017-2018,2018-04-28,Serie A,Matchweek 35,Home,W 4–1,Roma,Chievo
Alisson,2017-2018,2018-05-02,Champions Lg,Semi-finals,Home,W 4–2,Roma,Liverpool
Alisson,2017-2018,2018-05-06,Serie A,Matchweek 36,Away,W 1–0,Roma,Cagliari
Ross Barkley,2018-2019,2018-08-05,Community Shield,FA Community Shield,Neutral,L 0–2,Chelsea,Manchester City
Fabián Balbuena,2019-2020,2019-08-10,Premier League,Matchweek 1,Home,L 0–5,West Ham,Manchester City
Dele Alli,2017-2018,2017-11-18,Premier League,Matchweek 12,Away,L 0–2,Tottenham,Arsenal
Dele Alli,2017-2018,2017-11-21,Champions Lg,Group stage,Away,W 2–1,Tottenham,Dortmund
Dele Alli,2017-2018,2017-11-25,Premier League,Matchweek 13,Home,D 1–1,Tottenham,West Brom
Dele Alli,2017-2018,2017-11-28,Premier League,Matchweek 14,Away,L 1–2,Tottenham,Leicester City
